frei;free
Die Zugtür;train door
nächste;near
hinten;at the back
fällt;fall
können;are able to
stornieren;cancel
zahlen;pay
Das Gleis;track
auf;on top
Die Verspätung;delay
Die Achtung;attention
es gibt;there is
Die Abfahrt;departure
spät;late
halb;half
Die Minute;minute
Die Uhr;watch
Der Zug;train
genau;exactly
nach;to by for
Die Kosten;costs
Die Fahrkarte;ticket
Der Aufzug;elevator
schick;stylish
passt;fits
Die Größe;size
Das Hemd;shirt
Das Kleid;dress
Der Sakko;suit jacket
suche;seek look for
muss;have to must to
aufgeregt;excited
kaufen;to buy
gehen;go am going
nervös;nervous
Das Kaufhaus;department store
für;for
Das Bett;bed
dunkel;dark
hell;light
sauber;clean
Die Wohnung;apartment
wer;who
magst;like
bequem;comfortable
wir;we
brauchen;need
hässlich;ugly
bis;until
geöffnet;open
wann;when
shade;too bad
Die Zeit;time
Das Wochenende;weekend
Das Freund;friend
gern;happy to liked to
frühstückt;eats breakfast
Der Urlaub;holiday
jeden;every
so;so such
warum;why
viele;many
schnell;quickly
nur;only just
welche;which
schwer;difficult
einfach;easy simple
toll;great
dünn;small thin
Der Mitbewohner;roommate
warm;warm
wandered;hike
reblog;foggy
Der Frühling;spring
stark;strong/hard
jetzt;now
Der Winter;winter
schneit;snows
windig;windy
regnet;rains
schlecht;bad/poor
es;it
bewölkt;cloudy
gern geschehen;you’re welcome
wirklich;really/actually
von;from
kostet;costs
freut mich;nice to meet you
weit weg;far away
billig;cheap
teur;expensive
alt;old
in der Nähe;nearby
da drüben;over there
oft;often
immer;always
nie;never
machmal;sometimes
feiern;celebrate
Die Einladung;invitation
auf jeden Fall;definitely
zweiten;second
dritten;third
vierten;fourth
ersten;first
wiederholen;repeat
alles Gute;take care
dauert;lasts/does take
warten;hold on/delay
Die Bushaltestelle;bus stop
fahren;ride/travel
circa;approximately
geradeaus;straight ahead
besuchen;visit
Der Fluss;river
bar;cash
getrennt;separately
Der Obstsalat;fruit salat
süS;sweet/cute
ohne;without
Der Nachtisch;dessert
Das Fleisch;meat
bestellen;order
Der Hunger;hunger
schon;already
Die Eltern;parents
fast;almost/nearly
lustig;funny
Das Kind;child
Der Monat;month
Die Geschichte;history
gute Besserung;get well
Die Gesundheit;health
mehr;more
Der Zahnschmerz;toothache
Das Fieber;fever
bleiben;stay/continue
Der Termin;appointment
viel;much
traurig;sad
Der Durst;thirst
Die Lust;desire/in the mood
krank;sick
leider;unfortunately
schon;already/yet
Die Pläne;plan
Der Wald;forest
feiert;celebrate
vielleicht;maybe
Die Verwandten;relatives
Das Geschäft;store/business
Die Hausaufgabe;homework
Der Feiertag;holiday/bank holi
kurz;short/brief
langweilig;boring
Der Ausweis;ID card
Die Erwachsene;adult
finden;find
wohin;where to
schieSt;shut/close
frisch;fresh
Der Spinat;spinach
weniger;less/fewer
langsam;slowly
alles;everything
scharf;spicy/hot
nichts;nothing
am besten;the best
Das Obst;fruit
Das Dorf;village
Das Haustier;pet
arbeitslos;jobless
brav;well-behaved/good
zufrieden;satisfied
kaputt;broken
Das Fenster;window
Die Dusche;shower
funktioniert;works
Der Sessel;armchair
Der Fernseher;TV 
ruhig;quiet
Der Flughafen;airport
Der Strand;beach
nehme;take
Der Ausflug;trip/excursion
Das Kopfkissen;pillow
weich;soft
Das Pflanzen;plant
schmutzig;dirty
Der Kühlschrank;refrigerator
Die Mikrowelle;microwave
Das Wohnzimmer;living room
Der Nachbar;neighbour
unser;our
leise;quiet/silent
Das Mehrfamilienhaus;apartment building
zurzeit;currently
allein;alone
Das Reis;rice
Das Hähnchen;chicken
Der Schinken;ham
Die Tasse;cup
treffen;to meet
einmal;once
noch;still
Die Leute;people
Die Pommes;fries
schmecken;taste
uns;us
endet;finishes/ends
beliebt;popular
der SpaS;fun/enjoyment
laufen;to run
wenig;a litter
denn;because
Der Mittag;noon
den ganzen Tag;all day
endlich;finally
lass uns;let’s
bald;soon
abholen;pick up
lang;long
motiviert;motivated
der Führerschein;driver’s license
Der Vorname;first name
Der Nachname;last name
Der Lebenslauf;resume
besichtigen;visit
Die Brille;glasses
gelb;yellow
grau;grey
Der Koffer;suitcase
verboten;prohibited
richtig;correct
Der Kugelschreiber;the ball pen
unterschreiben;to sign
hilfreich;helpful
Der Schatz;treasure/sweetheard
ordentlich;tidy
fertig;finished
leer;empty
Das Abendessen;dinner
unhöfich;rude
leiser;quieter
Das Lebensmittel;groceries
faul;lazy
verärgert;angry
Die Miete;rent
putzen;to clean
zuerst;first
eure;your
holt;pick up
früher;earlier
wen;whom/ to whom
salzig;salty
mitbringen;bring along
Der Luftballon;balloon
ganz bestimmt;definitely
hoffen;to hope
planen;planning to
einen schönen Tag noch;have a nice day
Die Tüte;bag
ihre;yours/hers/theirs
genug;enough
Die Packung;packet
Das Stück;piece
Die Gurke;cucumber
gleich;shorty
mögen;to like/may
voll;full
wieder;again
vergiss;forget
tragen;to carry
einpacken;to pack
Die Kleidung;clothing
Der Hut;hat
Der Badeanzug;swimsuit
scheint;appears to be
dort;there
Das Meer;sea
besser;better
Der Mond;moon
nass;wet
Die Rechnung;bill/invoice